,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency
0,1.0,34.19897431782299,14.744767524421272,7.171519823385637,32.08329747931471,1.0
1,1.0,27.807512763435415,11.250239318792977,4.911055938399468,31.729918889398544,1.0
2,1.0,29.842812693757217,13.124056955999844,7.598253182935493,31.477170022161395,1.0
3,1.0,28.295836285336485,9.1401659183371,2.565571880705315,29.78161258401362,1.0
4,1.0,27.300926469607,9.738895999855417,3.982583039956492,31.94286648380509,1.0
5,1.0,25.312101900468072,10.194770998990347,4.074237245179317,31.227141946092313,1.0
6,1.0,39.486396938419084,16.050897565720586,11.617797186370503,37.73226696337818,1.0
7,1.0,31.09527768382209,13.305988687400538,5.6900096283910795,33.83419886206326,1.0
8,1.0,23.124562843688782,8.463859931242107,3.68111995411922,25.767772365575755,1.0
9,1.0,28.081085217380696,11.46232481545543,5.144233310296838,29.1299958165278,1.0
10,1.0,26.79349157960668,8.428956932790955,4.366999665194024,26.909938222077706,1.0
11,1.0,29.450839901812635,12.421303331214581,7.663342914152883,34.38463565591097,1.0
12,1.0,27.454019555054536,10.870100192731691,5.852257024414084,34.10893194328131,1.0
13,1.0,35.45045701844345,13.213381059074951,6.791468868547293,31.603767177699936,1.0
14,1.0,31.80199141703125,12.730634241376299,6.531836779987585,37.99696987089135,1.0
15,1.0,24.30613449524872,9.828490835958295,4.361514403221519,25.989378227616267,1.0
16,1.0,29.263289914884055,12.574078986129418,5.486888888172712,32.00142850175855,1.0
17,1.0,24.313592587142352,11.142945059514132,3.827087746635774,29.156033268087935,1.0
18,1.0,34.39907377353636,13.576746563092058,7.4786193324722925,34.89122790169521,1.0
19,1.0,32.16980669308824,12.890950683778001,5.291253782165409,33.9107523169109,1.0
20,1.0,30.163377753406756,10.3104615696752,4.19111795382986,33.39710523161191,1.0
21,1.0,26.04170555428899,11.65281722115889,4.977083947756097,33.71222581073715,1.0
22,1.0,24.570199494632462,10.33605853926235,4.266106993379704,29.00673768815227,1.0
23,1.0,30.41646656881962,12.76210069275094,6.590010630556728,30.702291808973346,1.0
24,1.0,25.75452518367363,9.368337111996144,4.569064739597297,31.55848011600023,1.0
25,1.0,29.544938756347026,10.54241241756554,4.462836805665345,31.565430293630133,1.0
26,1.0,29.761383685975233,13.888721933941094,6.974043145758563,33.33302802132694,1.0
27,1.0,27.163766104682626,10.688754582648544,4.228899740132006,33.14627628783781,1.0
28,1.0,31.90297720198793,12.608114584154256,4.684562928704872,36.26187642213659,1.0
29,1.0,30.607084264048268,9.856702906013208,4.7499871224759085,30.496589761508652,1.0
30,1.0,19.951776964260876,6.55789650138434,2.9074357154450894,24.28204014244194,1.0
31,1.0,33.38242298296381,13.16629467078586,6.8460755507692,35.49478551218294,1.0
32,1.0,25.202442651036872,10.140505950613628,4.7239111247705825,25.22143130232856,1.0
33,1.0,28.912753563572714,10.525084984274802,4.699905549243614,32.414321268185425,1.0
34,1.0,29.424435618394305,12.423727504036524,4.871768848601172,30.450433709689,1.0
35,1.0,24.703070873350534,10.034381467367464,3.335643059812076,31.471051086072794,1.0
36,1.0,29.365124403296665,11.828608863357116,4.043008662756034,35.426517551161965,1.0
37,1.0,27.79527512618413,9.58814036059643,3.534307391080252,32.15735676712701,1.0
38,1.0,28.3315113074409,10.455224555835104,4.372688443733501,33.16899607648127,1.0
39,1.0,29.507302930501417,10.809311864838644,4.900426683867514,30.084891933194427,1.0
40,1.0,26.304446034209985,10.257185078590755,4.542588548877165,31.17588750266532,1.0
41,1.0,32.56655434966429,13.154866323074657,5.184299754335275,36.163971112879395,1.0
42,1.0,26.721494532830466,9.115114403776742,3.483825134793293,28.691662311135413,1.0
43,1.0,28.74169952929755,9.936900540185054,4.316308240257341,26.045848712008045,1.0
44,1.0,29.05264105178513,11.375999060483739,5.811577542995949,33.57125483816982,1.0
45,1.0,30.25347160755355,14.270530719371843,5.290119522788972,37.10032180718511,1.0
46,1.0,27.72106270629595,12.037740361640992,5.380027854341423,27.490287995928682,1.0
47,1.0,31.735271121520594,14.55657821898906,6.384354884887534,36.07867015248046,1.0
48,1.0,29.73637848369121,11.74470054139216,4.851315959699022,36.70961583268501,1.0
49,1.0,29.878356582941397,11.229413026421437,6.206770939853883,26.87103819827665,1.0
